table_schema,table_name,column_name,data_type,is_nullable,column_default
main,audit_beneficiary_financial_fields,metric_name,VARCHAR,YES,
main,audit_beneficiary_financial_fields,total_abs_delta,DOUBLE,YES,
main,audit_beneficiary_financials,BENE_BIRTH_DT,VARCHAR,YES,
main,audit_beneficiary_financials,BENE_DEATH_DT,VARCHAR,YES,
main,audit_beneficiary_financials,BENE_RACE_CD,VARCHAR,YES,
main,audit_beneficiary_financials,BENE_SEX_IDENT_CD,VARCHAR,YES,
main,audit_beneficiary_financials,DESYNPUF_ID,VARCHAR,YES,
main,audit_beneficiary_financials,YEAR,INTEGER,YES,
main,audit_beneficiary_financials,abs_delta_BENRES_CAR,FLOAT,YES,
main,audit_beneficiary_financials,abs_delta_BENRES_IP,FLOAT,YES,
main,audit_beneficiary_financials,abs_delta_BENRES_OP,FLOAT,YES,
main,audit_beneficiary_financials,abs_delta_MEDREIMB_CAR,FLOAT,YES,
main,audit_beneficiary_financials,abs_delta_MEDREIMB_IP,FLOAT,YES,
main,audit_beneficiary_financials,abs_delta_MEDREIMB_OP,FLOAT,YES,
main,audit_beneficiary_financials,abs_delta_PPPYMT_CAR,FLOAT,YES,
main,audit_beneficiary_financials,abs_delta_PPPYMT_IP,FLOAT,YES,
main,audit_beneficiary_financials,abs_delta_PPPYMT_OP,FLOAT,YES,
main,audit_beneficiary_financials,delta_BENRES_CAR,FLOAT,YES,
main,audit_beneficiary_financials,delta_BENRES_IP,FLOAT,YES,
main,audit_beneficiary_financials,delta_BENRES_OP,FLOAT,YES,
main,audit_beneficiary_financials,delta_MEDREIMB_CAR,FLOAT,YES,
main,audit_beneficiary_financials,delta_MEDREIMB_IP,FLOAT,YES,
main,audit_beneficiary_financials,delta_MEDREIMB_OP,FLOAT,YES,
main,audit_beneficiary_financials,delta_PPPYMT_CAR,FLOAT,YES,
main,audit_beneficiary_financials,delta_PPPYMT_IP,FLOAT,YES,
main,audit_beneficiary_financials,delta_PPPYMT_OP,FLOAT,YES,
main,audit_beneficiary_financials,new_BENRES_CAR,FLOAT,YES,
main,audit_beneficiary_financials,new_BENRES_IP,FLOAT,YES,
main,audit_beneficiary_financials,new_BENRES_OP,FLOAT,YES,
main,audit_beneficiary_financials,new_MEDREIMB_CAR,FLOAT,YES,
main,audit_beneficiary_financials,new_MEDREIMB_IP,FLOAT,YES,
main,audit_beneficiary_financials,new_MEDREIMB_OP,FLOAT,YES,
main,audit_beneficiary_financials,new_PPPYMT_CAR,FLOAT,YES,
main,audit_beneficiary_financials,new_PPPYMT_IP,FLOAT,YES,
main,audit_beneficiary_financials,new_PPPYMT_OP,FLOAT,YES,
main,audit_beneficiary_financials,src_BENRES_CAR,FLOAT,YES,
main,audit_beneficiary_financials,src_BENRES_IP,FLOAT,YES,
main,audit_beneficiary_financials,src_BENRES_OP,FLOAT,YES,
main,audit_beneficiary_financials,src_MEDREIMB_CAR,FLOAT,YES,
main,audit_beneficiary_financials,src_MEDREIMB_IP,FLOAT,YES,
main,audit_beneficiary_financials,src_MEDREIMB_OP,FLOAT,YES,
main,audit_beneficiary_financials,src_PPPYMT_CAR,FLOAT,YES,
main,audit_beneficiary_financials,src_PPPYMT_IP,FLOAT,YES,
main,audit_beneficiary_financials,src_PPPYMT_OP,FLOAT,YES,
main,audit_beneficiary_summary,BENE_BIRTH_DT,INTEGER,YES,
main,audit_beneficiary_summary,BENE_COUNTY_CD,INTEGER,YES,
main,audit_beneficiary_summary,BENE_DEATH_DT,INTEGER,YES,
main,audit_beneficiary_summary,BENE_ESRD_IND,INTEGER,YES,
main,audit_beneficiary_summary,BENE_HI_CVRAGE_TOT_MONS,INTEGER,YES,
main,audit_beneficiary_summary,BENE_HMO_CVRAGE_TOT_MONS,INTEGER,YES,
main,audit_beneficiary_summary,BENE_RACE_CD,INTEGER,YES,
main,audit_beneficiary_summary,BENE_SEX_IDENT_CD,INTEGER,YES,
main,audit_beneficiary_summary,BENE_SMI_CVRAGE_TOT_MONS,INTEGER,YES,
main,audit_beneficiary_summary,BENRES_CAR,INTEGER,YES,
main,audit_beneficiary_summary,BENRES_IP,INTEGER,YES,
main,audit_beneficiary_summary,BENRES_OP,INTEGER,YES,
main,audit_beneficiary_summary,DESYNPUF_ID,VARCHAR,YES,
main,audit_beneficiary_summary,MEDREIMB_CAR,INTEGER,YES,
main,audit_beneficiary_summary,MEDREIMB_IP,INTEGER,YES,
main,audit_beneficiary_summary,MEDREIMB_OP,INTEGER,YES,
main,audit_beneficiary_summary,PLAN_CVRG_MOS_NUM,INTEGER,YES,
